Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Total score
Lithuania,Central and Eastern Europe,56,5.83,0.04,1.15,1.26,0.73,0.21,0.01,0.03,2.45,67.67
Nicaragua,Latin America and Caribbean,57,5.83,0.05,0.59,1.14,0.74,0.55,0.19,0.28,2.32,68.66
Peru,Latin America and Caribbean,58,5.82,0.05,0.9,0.97,0.73,0.41,0.06,0.15,2.59,69.65
Belarus,Central and Eastern Europe,59,5.81,0.04,1.03,1.23,0.74,0.38,0.19,0.11,2.13,70.63
Poland,Central and Eastern Europe,60,5.79,0.04,1.13,1.28,0.78,0.53,0.04,0.17,1.87,71.58
Malaysia,Southeastern Asia,61,5.77,0.04,1.12,1.07,0.72,0.53,0.11,0.33,1.89,72.54
Croatia,Central and Eastern Europe,62,5.76,0.04,1.08,0.8,0.79,0.26,0.02,0.05,2.75,73.52
Libya,Middle East and Northern Africa,63,5.75,0.08,1.13,1.12,0.7,0.42,0.11,0.18,2.09,74.51
Russia,Central and Eastern Europe,64,5.72,0.03,1.14,1.24,0.67,0.37,0.03,0.0,2.27,75.43
Jamaica,Latin America and Caribbean,65,5.71,0.14,0.81,1.15,0.69,0.5,0.02,0.21,2.32,76.42
North Cyprus,Western Europe,66,5.7,0.06,1.21,1.07,0.92,0.49,0.14,0.26,1.6,77.39
Cyprus,Western Europe,67,5.69,0.06,1.21,0.89,0.92,0.41,0.06,0.31,1.89,78.38
Algeria,Middle East and Northern Africa,68,5.6,0.05,0.94,1.08,0.62,0.29,0.17,0.08,2.43,79.21
Kosovo,Central and Eastern Europe,69,5.59,0.05,0.8,0.81,0.63,0.25,0.05,0.28,2.77,80.18
Turkmenistan,Central and Eastern Europe,70,5.55,0.04,0.96,1.23,0.54,0.48,0.31,0.17,1.87,81.1
Mauritius,Sub-Saharan Africa,71,5.48,0.07,1.01,0.99,0.71,0.56,0.08,0.38,1.76,81.95
Hong Kong,Eastern Asia,72,5.47,0.05,1.39,1.06,1.01,0.6,0.37,0.39,0.65,82.95
Estonia,Central and Eastern Europe,73,5.43,0.04,1.15,1.23,0.77,0.45,0.15,0.09,1.59,83.86
Indonesia,Southeastern Asia,74,5.4,0.03,0.83,1.09,0.64,0.47,0.0,0.52,1.86,84.8
Vietnam,Southeastern Asia,75,5.36,0.03,0.63,0.91,0.75,0.59,0.1,0.17,2.2,85.72
Turkey,Middle East and Northern Africa,76,5.33,0.04,1.06,0.95,0.73,0.23,0.16,0.12,2.09,86.66
Kyrgyzstan,Central and Eastern Europe,77,5.29,0.04,0.47,1.15,0.65,0.43,0.04,0.3,2.23,87.57
