Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
469,Adrián Ramos,FW,co Colombia,28.0,1986,3,1,141,1.6,0,1,1,0,0,0,0,0,c693cf7c,0.64,0.64,0.0,0.0,0.64
470,Sergio Ramos,DF,es Spain,28.0,1986,3,3,270,3.0,0,0,0,0,0,0,1,0,08511d65,0.0,0.0,0.0,0.0,0.0
471,Ante Rebić,FW,hr Croatia,20.0,1993,3,0,46,0.5,0,0,0,0,0,0,0,1,536cebe5,0.0,0.0,0.0,0.0,0.0
472,Pepe Reina,GK,es Spain,31.0,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,e358587b,0.0,0.0,0.0,0.0,0.0
473,Loïc Rémy,FW,fr France,27.0,1987,2,0,30,0.3,0,0,0,0,0,0,0,0,5c2da10f,0.0,0.0,0.0,0.0,0.0
474,Diego Reyes,DF,mx Mexico,21.0,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,d4f46475,0.0,0.0,0.0,0.0,0.0
475,Arjen Robben,FW,nl Netherlands,30.0,1984,7,7,690,7.7,3,1,4,3,0,0,1,0,09586899,0.13,0.52,0.39,0.39,0.52
476,Cristian Rodríguez,MF,uy Uruguay,28.0,1985,4,4,332,3.7,0,0,0,0,0,0,0,0,dcd67568,0.0,0.0,0.0,0.0,0.0
477,James Rodríguez,FW,co Colombia,22.0,1991,5,4,399,4.4,6,2,8,5,1,1,1,0,715bf047,0.45,1.8,1.35,1.13,1.58
478,Maxi Rodríguez,FW,ar Argentina,33.0,1981,2,1,66,0.7,0,0,0,0,0,0,0,0,4f06b1e0,0.0,0.0,0.0,0.0,0.0
479,Ricardo Rodríguez,DF,ch Switzerland,21.0,1992,4,4,390,4.3,0,2,2,0,0,0,0,0,7f78ad23,0.46,0.46,0.0,0.0,0.46
480,Joao Rojas,FW,ec Ecuador,25.0,1989,1,0,15,0.2,0,0,0,0,0,0,0,0,77e9a4e7,0.0,0.0,0.0,0.0,0.0
481,José Rojas,DF,cl Chile,30.0,1983,1,0,13,0.1,0,0,0,0,0,0,0,0,0e8369e1,0.0,0.0,0.0,0.0,0.0
482,Marcos Rojo,DF,ar Argentina,24.0,1990,6,6,614,6.8,1,0,1,1,0,0,2,0,e0991c04,0.0,0.15,0.15,0.15,0.15
483,Sergio Romero,GK,ar Argentina,27.0,1987,7,7,720,8.0,0,0,0,0,0,0,0,0,1e26e376,0.0,0.0,0.0,0.0,0.0
484,Cristiano Ronaldo,FW,pt Portugal,29.0,1985,3,3,270,3.0,1,1,2,1,0,0,0,0,dea698d9,0.33,0.67,0.33,0.33,0.67
485,Wayne Rooney,FW,eng England,28.0,1985,3,2,195,2.2,1,1,2,1,0,0,0,0,f07be45a,0.46,0.92,0.46,0.46,0.92
